,Transaction ID,1,1-prox,2,2-prox,3,3-prox,4,4-prox,5,5-prox,6,6-prox,7,7-prox,8,8-prox,9,9-prox,10,10-prox
13,14,191,0.8211276354433514,398,0.8203599146248262,157,0.8173983725400872,264,0.8170218614297419,510,0.8098144390476562,318,0.8097037189483993,328,0.8091034321574413,428,0.8052227755065018,269,0.736917100892299,119,0.7318914802854508
14,15,22,0.9913500968716487,125,0.9673294435648463,288,0.8681541634435046,53,0.8619403834631075,244,0.861704087259993,57,0.8611131420092921,205,0.8537427766677728,518,0.8528253100784038,181,0.8498950060912845,175,0.8494771445977698
15,16,268,0.9910193415244578,93,0.9798519065098936,243,0.9762991627855527,383,0.9760772583952491,391,0.9752081811650684,215,0.973634642287416,117,0.9729446025964064,183,0.9685978565275246,55,0.9678647018995978,394,0.9632530471442072
16,17,294,0.9906679337546924,341,0.862286867044869,410,0.8600441893860727,42,0.8596064590258713,335,0.8487016649782765,344,0.8396338764666617,509,0.8373094983785188,289,0.8349395247610005,90,0.7471275353785711,502,0.74413408890388
17,18,310,0.8275390352275048,226,0.7459765048464488,334,0.7447091809591087,32,0.7434103592694365,216,0.7427687699863572,11,0.7416330156902313,514,0.7385875156153632,437,0.7341544415128476,379,0.7305736998710046,478,0.7272025956675345
18,19,8,0.9661043889061389,351,0.9635343615840317,135,0.9425378980564294,99,0.93903120122798,370,0.9212862920229552,366,0.8659349947674744,492,0.8586496820921234,110,0.8571225279864176,236,0.8570970818546583,25,0.8566909688754797
19,20,225,0.693485795525437,424,0.6159304814694179,46,0.6147269354321505,390,0.6147081179250566,361,0.613988194772315,274,0.6126801754088329,223,0.612626799498499,42,0.6113827523930062,306,0.6111790149946078,213,0.6105654727028971
20,21,40,0.998970801761673,394,0.9974477227695658,146,0.9897542366664591,391,0.9839609113589791,383,0.9836740185457871,133,0.98254866821497,34,0.9797641179467048,87,0.9704301124472523,268,0.9701067787930957,117,0.9698570633534278
21,22,15,0.9913500968716487,125,0.9754078425409908,288,0.86012082217199,244,0.8536543693192458,53,0.853323554575797,57,0.8524984081592413,205,0.8451256040450836,518,0.8442104609933958,175,0.8414598573026708,181,0.8414549129175337
22,23,170,0.9819380748288093,109,0.9707073885867457,201,0.8748844909349855,259,0.8701304707467807,266,0.8621570357817836,235,0.8543615480319307,507,0.8515051760410584,29,0.8482194445609694,373,0.8478969728190107,214,0.841641792544121
23,24,201,0.8321769003861013,208,0.7531705041482251,270,0.7525242363984062,124,0.7276716342209748,247,0.7238233279189024,193,0.7208042415838667,468,0.7187460615749454,447,0.7154051349488483,454,0.7140624583778243,214,0.7094209404985388
24,25,492,0.9979070538471759,223,0.9732518853324079,496,0.9551661252509727,52,0.9533842463386087,502,0.8698517548442374,339,0.8676791748204039,90,0.8616025227640525,231,0.8597948900034612,8,0.8587843686471142,423,0.8582257038444683
